ID_EQ_ESP;NOME;NOME_POPULAR;TIPO;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;NOME_BAIRRO_POPULAR;REF_LOGRADOURO;GEOMETRIA;GESTOR_EQUIP_ESPORT
2747;CONJUNTO IAPI (QPol1);;QUADRA POLIESPORTIVA;PRACA;PROFESSOR CORREA NETO;;;SÃO CRISTÓVÃO;PRACA PROFESSOR CORREA NETO PROXIMO A ACA CONJUNTO IAPI;POINT (610238.52 7799018.40);
2748;CONJUNTO IAPI (QPol2);;QUADRA POLIESPORTIVA;PRACA;PROFESSOR CORREA NETO;;;SÃO CRISTÓVÃO;PRACA PROFESSOR CORREA NETO PROXIMO A ACA CONJUNTO IAPI;POINT (610266.57 7799030.78);
1393;ACADEMIA DA AVENIDA PROFESSOR CLÓVIS SALGADO;;ACADEMIA A CÉU ABERTO;AVENIDA;PROFESSOR CLOVIS SALGADO;;;URCA;ESQUINA RUA BEIRA MAR;POINT (603117.91 7802228.85);
1401;ACADEMIA DO CAMPO SANTA TEREZINHA;;ACADEMIA A CÉU ABERTO;AVENIDA;PROFESSOR CLOVIS SALGADO;;;BANDEIRANTES;ESQUINA RUA CASABLANCA;POINT (604159.87 7803183.88);
1746;ACADEMIA DO CRAS MARIANO DE ABREU;;ACADEMIA A CÉU ABERTO;BECO;TRES MIL SETECENTOS E TRES;;;MARIANO DE ABREU;ESQUINA RUA CINCO DE JANEIRO;POINT (616197.31 7799786.79);
1431;ACADEMIA DA PRAÇA RUBEM DARIO;;ACADEMIA A CÉU ABERTO;PRACA;RUBEM DARIO;;;IPÊ;ESQUINA RUAS HELE AMARAL VALADÃO E MARIA DAS GRAÇAS;POINT (614170.08 7802894.76);
1387;ACADEMIA DA RUA AIMÉE SEMPLE MCPHERSON;;ACADEMIA A CÉU ABERTO;RUA;AIMEE SEMPLE MCPHERSON;;;VILA SANTO ANTÔNIO;ESQUINA COM RUA CARLOS ALBERTO FÉRES;POINT (609081.85 7803507.93);
1681;ACADEMIA DA PRAÇA JORGE SAID;;ACADEMIA A CÉU ABERTO;PRACA;JORGE SAID;;;TIROL;ENTRE RUAS ANTÔNIO EUSTÁQUI PIAZZA E LUPÉRCIO PAIXÃO;POINT (599886.16 7789201.79);
1408;ACADEMIA DA PRAÇA GERALDO DE ARAÚJO E SILVA;;ACADEMIA A CÉU ABERTO;PRACA;GERALDO DE ARAUJO E SILVA;;;MANTIQUEIRA;ESQUINA RUAS LUZIA SALOMÃO E JOSÉ FÉLIX MARTINS;POINT (606720.44 7810206.09);
1482;ACADEMIA DA PRAÇA ORLANDO SILVA;;ACADEMIA A CÉU ABERTO;PRACA;ORLANDO SILVA;;;DOM BOSCO;ENTRE AVENIDA IVAÍ E RUA BOCAÍNA;POINT (605054.05 7797661.72);
1409;ACADEMIA DA PRAÇA MANOEL BATISTA BAIA;;ACADEMIA A CÉU ABERTO;PRACA;MANOEL BATISTA BAIA;;;MANTIQUEIRA;ESQUINA RUA PEDRO ROCHA POSSAS;POINT (606411.64 7810330.71);
1656;ACADEMIA DA PRAÇA ENGENHEIRO IRON MARRA;;ACADEMIA A CÉU ABERTO;PRACA;ENGENHEIRO IRON MARRA;;;SANTA AMÉLIA;ESQUINA AVENIDA GUARAPARI E RUA EURICO LIMA GIL;POINT (607398.03 7806429.35);
1763;ACADEMIA DA PRAÇA CONFRADE CÉLIO SILVA;;ACADEMIA A CÉU ABERTO;PRACA;CONFRADE CELIO SILVA;;;SANTA CECÍLIA;ESQUINA AVENIDA DOUTOR HANS PETER KIERNFF E RUA FLEMIDARK;POINT (601056.99 7788122.23);
2825;PRAÇA CONFRADE CELIO SILVA;;QUADRA RECREATIVA;PRACA;CONFRADE CELIO SILVA;;;SANTA CECÍLIA;ESQUINA AVENIDA DOUTOR HANS PETER KIERNFF E RUA FLEMIDARK;POINT (601010.40 7788091.26);
2281;PRAÇA DE ESPORTES DO CONJUNTO UBIRAJARA;;CAMPO DE FUTEBOL SOCIETY;PRACA;RONAN LASMAR;;;JAQUELINE;CONFLUÊNCIA RUAS ATANASIA DOS JARDINS E UM MIL CENTO E NOVENTA E CINCO;POINT (612458.60 7809999.99);
2282;PRAÇA DE ESPORTES DO CONJUNTO UBIRAJARA;;QUADRA DE VÔLEI;PRACA;RONAN LASMAR;;;JAQUELINE;CONFLUÊNCIA RUAS ATANASIA DOS JARDINS E UM MIL CENTO E NOVENTA E CINCO;POINT (612457.80 7810054.17);
2283;ACADEMIA DA PRAÇA RONAN LASMAR;;ACADEMIA A CÉU ABERTO;PRACA;RONAN LASMAR;;;JAQUELINE;CONFLUÊNCIA RUAS ATANASIA DOS JARDINS E UM MIL CENTO E NOVENTA E CINCO;POINT (612444.39 7810053.64);
1372;ACADEMIA DA PRAÇA EDNA HARRINGTON;;ACADEMIA A CÉU ABERTO;PRACA;EDNA HARRINGTON;;;RIO BRANCO;ESQUINA RUA IRMÃ FLORINDA DOS SANTOS;POINT (606315.65 7808460.43);
1392;ACADEMIA DA PRAÇA FLÁVIO DE ARAÚJO MOTTA;;ACADEMIA A CÉU ABERTO;PRACA;FLAVIO DE ARAUJO MOTTA;;;BANDEIRANTES;ENTRE AVENIDAS ANTÔNIO FRANCISCO LISBOA E ORSI CONCEIÇÃO MINAS;POINT (604524.62 7803980.34);
1461;ACADEMIA DA RUA RAMIRO SIQUEIRA;;ACADEMIA A CÉU ABERTO;RUA;RAMIRO SIQUEIRA;;;CONJUNTO TAQUARIL;ESQUINA RUA FILADÉLFIA;POINT (617740.20 7797215.83);
1477;ACADEMIA DA PRAÇA ADALMO PASSOS LOPES;;ACADEMIA A CÉU ABERTO;PRACA;ADALMO PASSOS LOPES;;;PINDORAMA;ESQUINA RUA ITAJAÍ;POINT (602668.88 7797962.88);
1553;ACADEMIA DA PRAÇA PADRE LAGE;;ACADEMIA A CÉU ABERTO;PRACA;PADRE LAGE;;;HELIÓPOLIS;ESQUINA RUA OLBIANO SAUSMIKAT;POINT (611316.0 7805381.0);
1678;ACADEMIA DA RUA DO BRÁS;;ACADEMIA A CÉU ABERTO;RUA;DO BRAS;;;VILA PIRATININGA;ESQUINA RUA OITO;POINT (599082.81 7789504.76);
1760;ACADEMIA DA PRAÇA JOSÉ MENDES JUNIOR;;ACADEMIA A CÉU ABERTO;PRACA;JOSE MENDES JUNIOR;;;SAVASSI;RUA DA BAHIA;POINT (610971.04 7795480.24);
2323;PARQUE ECOLÓGICO DO NOVA GRANADA (QPol);ARENA MORRO DAS PEDRAS - D, PARQUE DO LIXÃO - D;QUADRA POLIESPORTIVA;RUA;CONSELHEIRO JOAQUIM CAETANO;1569.0;;SÃO JORGE III; ;POINT (608209.27 7793925.20);
1333;JONAS VEIGA I;;CAMPO DE FUTEBOL SOCIETY;RUA;MAGNESIO;22.0;;JONAS VEIGA; ;POINT (616106.15 7797248.87);
1531;ACADEMIA DO CENTRO CULTURAL NORDESTE - USINA DE CU;;ACADEMIA A CÉU ABERTO;RUA;DOM CABRAL;765.0;;IPIRANGA; ;POINT (611907.70 7800788.10);
1561;ACADEMIA DO CLUBE DOS OFICIAIS;;ACADEMIA A CÉU ABERTO;RUA;DIABASE;200.0;;PRADO; ;POINT (608815.45 7796941.10);
1329;MINEIRINHO;;CAMPO DE FUTEBOL;RUA;SAO VICENTE;701.0;;GRANJA DE FREITAS; ;POINT (616517.57 7798069.79);
