ID_EQUIP_EDUCACAO;NOME;DEPENDENCIA_ADM;CODIGO_INEP;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;BAIRRO;REGIONAL;GEOMETRIA
1981770;OBRAS PAVONIANAS;Creches Conveniadas;31320544;RUA;DIAS DE TOLEDO;99;;Coração de Jesus;CENTRO-SUL;POINT (609841.80 7793888.46)
1983171;EMEI CINQUENTENÁRIO;EMEIS;31361712;AVENIDA;DOM JOAO VI;691;;Cinquentenário;OESTE;POINT (606495.01 7792496.06)
1983142;EMEI VILA SENHOR DOS PASSOS;EMEIS;31357723;RUA;EVARISTO DA VEIGA;239;;Senhor dos Passos;NOROESTE;POINT (610043.80 7798591.43)
1982040;ESCOLA MUNICIPAL AIRES DA MATA MACHADO;Municipal;31002836;AVENIDA;SENADOR LEVINDO COELHO;632;;Tirol;BARREIRO;POINT (600952.13 7788884.24)
1982196;CRECHE COMUNITÁRIA DO BAIRRO SANTA CECÍLIA JOÃO AUGUSTO BITARÃES FILHOS DE DEUS;Creches Conveniadas;31282413;AVENIDA;SENADOR LEVINDO COELHO;1167;;Santa Cecília;BARREIRO;POINT (600867.16 7788405.55)
1982201;CRECHE COMUNITÁRIA PINGO DE GENTE;Creches Conveniadas;31257648;AVENIDA;SENADOR LEVINDO COELHO;600;;Tirol;BARREIRO;POINT (600954.56 7788971.88)
1981894;CRECHE ESCOLA INFANTIL SÃO VICENTE DE PAULO;Creches Conveniadas;31257630;RUA;EURITA;461;;Santa Tereza;LESTE;POINT (613191.56 7797340.68)
1982087;CRECHE CENTRO INFANTIL VOVÓ GERALDA LUCAS;Creches Conveniadas;31282456;RUA;PACO DA LIBERDADE;120;;Conjunto Paulo VI;NORDESTE;POINT (616419.68 7806750.32)
1981775;CRECHE DONA QUITA TOLENTINO;Creches Conveniadas;31257575;RUA;BELA VISTA;54;;Santana do Cafezal;CENTRO-SUL;POINT (613931.73 7795189.44)
1981797;ASSOCIAÇÃO DA ESCOLINHA INFANTIL PEDACINHO DO CÉU;Creches Conveniadas;31330787;RUA;BELA VISTA;31;;Santana do Cafezal;CENTRO-SUL;POINT (613919.75 7795169.66)
1983078;EMEI ZILAH SPÓSITO;EMEIS;31357839;RUA;COQUILHO;75;;Jaqueline;NORTE;POINT (612243.50 7809785.55)
1981967;ESCOLA MUNICIPAL PROFESSOR DANIEL ALVARENGA;Municipal;31294632;RUA;COQUILHO;155;;Jaqueline;NORTE;POINT (612181.22 7809914.72)
1983099;EMEI LUXEMBURGO;EMEIS;31357430;RUA;ACESSO BLOCO UM;200;;Conjunto Santa Maria;CENTRO-SUL;POINT (608951.13 7793482.35)
1981794;CRECHE RECANTO DO MENOR;Creches Conveniadas;31290220;BECO;COQUEIROS;35;;Monte São José;CENTRO-SUL;POINT (609656.73 7794502.43)
1983404;INSTITUTO  EDUCACIONAL INFANTIL GERAÇÃO DE SAMUEL;Creches Conveniadas;31373176;RUA;GASTAO DA COSTA PINHEIRO;107;;Jardim Guanabara;NORTE;POINT (611274.51 7807152.20)
1982071;CRECHE ETELVINA CAETANO DE JESUS;Creches Conveniadas;31290025;RUA;OSCAR LOBO PEREIRA;115;;Primeiro de Maio;NORTE;POINT (612286.70 7803357.77)
1983169;EMEI PIRATININGA;EMEIS;31365408;RUA;ALTINOPOLIS;585;;Piratininga;VENDA NOVA;POINT (605779.92 7809475.65)
1983243;CRECHE MARIA EURIPEDES DA SILVA;Creches Conveniadas;31372781;RUA;MARIA ROSA DA SILVA;1074;;Mantiqueira;VENDA NOVA;POINT (606696.67 7811902.83)
1982055;CRECHE NOSSA SENHORA DO PERPÉTUO SOCORRO;Creches Conveniadas;31282502;RUA;FRANCISCO SERRAO;45;;Taquaril;LESTE;POINT (616900.91 7797343.06)
1983121;EMEI MÍRIAM BRANDÃO;EMEIS;31231959;RUA;JOAO BATISTA FERNANDES;75;;Serra Verde;VENDA NOVA;POINT (609270.28 7810427.94)
1983183;EMEI BAIRRO DAS INDÚSTRIAS;EMEIS;31361780;RUA;IRMA MARIA PAULA;254;;Bairro das Indústrias I;BARREIRO;POINT (604571.33 7791987.22)
1982038;ESCOLA MUNICIPAL VINICIUS DE MORAES;Municipal;31217841;RUA;SEBASTIAO MOREIRA;409;;Tirol;BARREIRO;POINT (600523.01 7789336.59)
1983185;EMEI CARDOSO;EMEIS;31357332;RUA;SOLIDARIEDADE;477;;Flávio de Oliveira;BARREIRO;POINT (604318.98 7788070.92)
1982190;CRECHE ABRIGO CORAÇÃO DE JESUS;Creches Conveniadas;31281522;RUA;CYRILLO BASTOS;15;;Lindéia;BARREIRO;POINT (599247.58 7790299.32)
1982513;INSTITUTO EDUCACIONAL ESCUDO DA VERDADE;Creches Conveniadas;31369012;RUA;EDITH MELLO SILVA;176;;Vila Vista Alegre;OESTE;POINT (605389.58 7793425.07)
1981964;ESCOLA MUNICIPAL JOSE DE CALASANZ;Municipal;31305499;RUA;SEBASTIAO SANTANA FILHO;111;;Ipê;NORDESTE;POINT (614638.12 7802277.42)
1981871;ESCOLA MUNICIPAL DORA TOMICH LAENDER;Municipal;31003590;RUA;JULITA NUNES LIMA;53;;Conjunto Minascaixa;VENDA NOVA;POINT (608992.63 7809630.68)
1983170;EMEI NOVA IORQUE;EMEIS;31361860;RUA;EDIVALDO JARDIM;400;;Jardim dos Comerciários;VENDA NOVA;POINT (608523.38 7811010.14)
1982061;CENTRO INFANTIL PUPILEIRA ERNANI AGRÍCOLA;Creches Conveniadas;31289884;RUA;SAO JOAQUIM;1177;;Sagrada Família;LESTE;POINT (613502.10 7799353.76)
1982044;ESCOLA MUNICIPAL FRANCISCA DE PAULA;Municipal;31002704;RUA;JULIO DE CASTILHO;330;;Cinquentenário;OESTE;POINT (606395.15 7792873.58)
1982192;CRECHE COMUNITÁRIA BOM MENINO;Creches Conveniadas;31257966;RUA;COLETORA DOIS;106;;Castanheira;BARREIRO;POINT (601168.27 7788832.31)
1983382;CRECHE BEM VIVER;Creches Conveniadas;31377210;RUA;ITAPETINGA;2198;;Santa Cruz;NORDESTE;POINT (610189.83 7801324.66)
1981841;CRECHE ESPERANÇA;Creches Conveniadas;31308765;RUA;NOVA PONTE;11;;Salgado Filho;OESTE;POINT (606173.80 7794326.34)
1982152;CRECHE ABRIGO INFANTIL VOVÓ DUDU;Creches Conveniadas;31290343;RUA;PERDOES;339;;Padre Eustáquio;NOROESTE;POINT (607799.21 7797685.62)
1983083;EMEI VILA ESTRELA;EMEIS;31362131;RUA;PRIMAVERA;60;;Santo Antônio;CENTRO-SUL;POINT (610583.30 7794570.42)
1983102;EMEI SABINÓPOLIS;EMEIS;31357707;RUA;SABINOPOLIS;120;;Carlos Prates;NOROESTE;POINT (608822.02 7798046.73)
1981742;ESCOLA MUNICIPAL SENADOR LEVINDO COELHO;Municipal;31003417;RUA;CARACA;850;;Mangabeiras;CENTRO-SUL;POINT (613552.96 7794370.28)
1981774;CRECHE COMUNITÁRIA TERRA NOVA;Creches Conveniadas;31290327;RUA;DOS CARVALHOS;124;;Acaba Mundo;CENTRO-SUL;POINT (612012.04 7792403.11)
1981772;CRECHE CENTRO INFANTIL SAGRADO CORAÇÃO DE JESUS;Creches Conveniadas;31290556;RUA;CORONEL FULGENCIO;205;;São Lucas;CENTRO-SUL;POINT (613215.15 7796108.79)
1982043;ESCOLA MUNICIPAL PADRE HENRIQUE BRANDAO;Municipal;31002895;RUA;CRISPIM JAQUES;987;;Vista Alegre;OESTE;POINT (604589.46 7793047.20)
1983188;EMEI SARANDI;EMEIS;31362174;RUA;DEPUTADO AUGUSTO GONCALVES;150;;Serrano;PAMPULHA;POINT (603249.26 7802059.39)
1982199;CRECHE COMUNITÁRIA MARIA CHIQUINHA;Creches Conveniadas;31289914;RUA;DOUTOR RIBEIRO PENA;380;;Bairro das Indústrias I;BARREIRO;POINT (603464.76 7792707.23)
